Название книги,Автор книги,Издательство,Цена,Скидка на книгу
System Design. Подготовка к сложному интервью,Сюй Алекс,Питер,1 404 ₽,Нет скидки
Отзывчивый дизайн на HTML5 и CSS3 для любых устройств,Фрэйн Бен,Питер,2 268 ₽,Нет скидки
Глубокое обучение с подкреплением. Теория и практика на языке Python,"Грессер, Кенг",Питер,2 540 ₽,Нет скидки
Микросервисы Spring в действии,"Карнелл, Санчес",ДМК-Пресс,2 517 ₽,Нет скидки
Осваиваем архитектуру Transformer. Разработка современных моделей с помощью передовых методов,"Йылдырым, Асгари-Ченаглу",ДМК-Пресс,2 221 ₽,Нет скидки
Основы юзабилити-тестирования,Барнум Кэрол М.,ДМК-Пресс,2 665 ₽,Нет скидки
Творческие проекты с микроконтроллером в среде TinyGo и WebAssembly,Тил Тобиас,ДМК-Пресс,1 628 ₽,Нет скидки
Программирование на Python. Первые шаги,Щерба Анастасия Владимировна,Лаборатория знаний,681 ₽,Нет скидки
Вычисления в кольцах некоммутативных многочленов. Учебное пособие для вузов,Цирулик Владимир Григорьевич,Лань,2 212 ₽,Нет скидки
Практический анализ двоичных файлов,Эндриесс Дэннис,ДМК-Пресс,2 517 ₽,Нет скидки
Изучаем C# через разработку игр на Unity,Ферроне Харрисон,Питер,1 688 ₽,Нет скидки
Основы алгоритмизации и программирования на языке Паскаль. Лабораторный практикум. Учебное пособие,Коренская Ирина Николаевна,Лань,873 ₽,Нет скидки
Исследование операций. Том 1. Линейное программирование. Учебник для вузов,Трушков Александр Сергеевич,Лань,1 623 ₽,Нет скидки
Игра в цифры. Как аналитика позволяет видеоиграм жить лучше,Сабиров Василий Константинович,Бомбора,1 407 ₽,Нет скидки
Apache Airflow и конвейеры обработки данных,"Харенслак, Руйтер",ДМК-Пресс,2 814 ₽,Нет скидки
Python для всех,Северанс Чарльз Р.,ДМК-Пресс,961 ₽,Нет скидки
Практикум по проектированию на языках VerilogHDL и SystemVerilog. Учебное пособие,"Мурсаев, Буренева",Лань,746 ₽,Нет скидки
Использование языка Python в теории вероятности. Учебник,Криволапов Сергей Яковлевич,Прометей,1 569 ₽,Нет скидки
Экономика на Python. Учебник,"Хрипунова, Губернаторов",Прометей,1 141 ₽,Нет скидки
Black Hat Python. Программирование для хакеров и пентестеров,"Зейтц, Арнольд",Питер,1 688 ₽,Нет скидки
Однострочники Python. Лаконичный и содержательный код,Майер Кристиан,Питер,1 688 ₽,Нет скидки
Гид Java-разработчика. Проектно-ориентированный подход,"Урма, Уорбэртон",Бомбора,819 ₽,Нет скидки
"PHP 8. Объекты, шаблоны и методики программирования",Зандстра Мэтт,Диалектика,4 278 ₽,Нет скидки
Python и DevOps. Ключ к автоматизации Linux,"Гифт, Берман, Деза",Питер,2 561 ₽,Нет скидки
Прикладное программирование на С/С++: с нуля,Иванов Всеволод Борисович,Солон-пресс,741 ₽,Нет скидки
Введение в логическое программирование,"Дженесерет, Чаудри",ДМК-Пресс,1 333 ₽,Нет скидки
Параллельное программирование на C# и .NET Core,Шакти Танвар,ДМК-Пресс,1 554 ₽,Нет скидки
Разработка игр на языке JavaScript. Учебное пособие,Беляев Сергей Алексеевич,Лань,381 ₽,Нет скидки
Параллельные и высокопроизводительные вычисления,"Роби, Замора",ДМК-Пресс,3 406 ₽,Нет скидки
Исследование операций в экономике. Практикум. Учебное пособие для вузов,Слабнов Виктор Дмитриевич,Лань,2 085 ₽,Нет скидки
"Паттерны разработки на Python. TDD, DDD и событийно-ориентированная архитектура","Персиваль, Грегори",Питер,2 127 ₽,Нет скидки
WebAssembly в действии,Галлан Жерар,Питер,2 823 ₽,Нет скидки
Разработка моделей предметной области автоматизации. Учебник для вузов,Котлинский Сергей Владимирович,Лань,2 434 ₽,Нет скидки
Разработка моделей предметной области автоматизации. Учебник для СПО,Котлинский Сергей Владимирович,Лань,2 202 ₽,Нет скидки
Тестирование программного обеспечения. Учебное пособие для СПО,Игнатьев Александр Владимирович,Лань,348 ₽,Нет скидки
Проектирование человеко-машинного взаимодействия. Учебник для вузов,Игнатьев Александр Владимирович,Лань,393 ₽,Нет скидки
Программные коллекции данных. Проектирование и реализация. Учебник,Романенко Татьяна Александровна,Лань,1 275 ₽,Нет скидки
Программные коллекции данных. Проектирование и реализация. Учебное пособие для СПО,Романенко Татьяна Александровна,Лань,1 275 ₽,Нет скидки
Black Hat Go. Программирование для хакеров и пентестеров,"Коттманн, Паттен, Стил",Питер,2 511 ₽,Нет скидки
Паттерны объектно-ориентированного проектирования,"Гамма, Хелм, Джонсон",Питер,1 029 ₽,Нет скидки
Хочу в геймдев! Основы игровой разработки для начинающих,"Уточкин, Сахнов",Бомбора,965 ₽,Нет скидки
Идеальный программист. Как стать профессионалом разработки ПО,Мартин Роберт С.,Питер,821 ₽,Нет скидки
Python без проблем. Решаем реальные задачи и пишем полезный код,Зингаро Даниэль,Питер,1 617 ₽,Нет скидки
Не заставляйте меня думать. Веб-юзабилити и здравый смысл,Круг Стив,Эксмо-Пресс,856 ₽,Нет скидки
C# 9 и .NET 5. Разработка и оптимизация,Прайс Марк Дж.,Питер,3 545 ₽,Нет скидки
Clojure на производстве,Гришаев Иван,ДМК-Пресс,1 481 ₽,Нет скидки
Алгоритмы ГИС,Сяо Нинчуань,ДМК-Пресс,1 777 ₽,Нет скидки
Изучаем SHINY,Уикем Хэдли,ДМК-Пресс,1 924 ₽,Нет скидки
Анализ поведенческих данных на R и PYTHON,Бюиссон Флоран,ДМК-Пресс,2 221 ₽,Нет скидки
Оптимизация запросов PostgreSQL,"Домбровская, Бейликова, Новиков",ДМК-Пресс,1 554 ₽,Нет скидки
Разработка беспилотных транспортных средств,"Лю, Ли, Тан",ДМК-Пресс,1 628 ₽,Нет скидки
Сети 6G. Путь от 5G к 6G глазами разработчиков,"Тонг, Ахаваин, Чжу",ДМК-Пресс,2 961 ₽,Нет скидки
Статистические вычисления на платформе Jupyter Notebook с использованием Python. Учебник,Криволапов Сергей Яковлевич,Кнорус,1 294 ₽,Нет скидки
Корпоративные информационные системы на базе решения Oracle E-Business Suite. Калькуляция затрат,"Васильева, Громова",Прометей,570 ₽,Нет скидки
Проектирование цифровых образовательных ресурсов,"Коннова, Липагина, Постовалова",Прометей,1 069 ₽,Нет скидки
Классические задачи Computer Science на языке Java,Копец Дэвид,Питер,1 545 ₽,Нет скидки
Информационное моделирование: методолгия использования цифровых моделей. Часть 1,Бачурина Светлана Самуиловна,ДМК-Пресс,740 ₽,Нет скидки
Head First. Паттерны проектирования,"Фримен, Сьерра, Робсон",Питер,2 127 ₽,Нет скидки
Web-программирование на JavaScript. Учебное пособие для СПО,Диков Андрей Валентинович,Лань,1 008 ₽,Нет скидки
Автоматизация рутинных задач с помощью Python,Свейгарт Эл,Диалектика,2 852 ₽,Нет скидки
Алгоритмы. Теория и практическое применение,Стивенс Род,Эксмо,1 268 ₽,Нет скидки
Апокалипсис криптографии. Подготовка криптографии к квантовым вычислениям,Граймс Роджер А.,ДМК-Пресс,1 777 ₽,Нет скидки
"{Вы пока еще не знаете JS} Познакомьтесь, JavaScript",Симпсон Кайл,Питер,1 121 ₽,Нет скидки
{Вы пока еще не знаете JS}. Область видимости и замыкания,Симпсон Кайл,Питер,1 192 ₽,Нет скидки
Паттерны программирования игр,Нистрем Роберт,Бомбора,1 499 ₽,Нет скидки
Эффективный C. Профессиональное программирование,Сикорд Роберт С.,Питер,1 857 ₽,Нет скидки
React. Современные шаблоны для разработки приложений,"Бэнкс, Порселло",Питер,1 945 ₽,Нет скидки
JavaScript. Обработка событий на примерах. Учебное пособие,Янцев Валерий Викторович,Лань,1 390 ₽,Нет скидки
ASP.NET CORE в действии,Лок Эндрю,ДМК-Пресс,3 035 ₽,Нет скидки
Анализируем данные в Microsoft Power BI. Подготовка к экзамену DA-100,Маслюк Даниил,ДМК-Пресс,1 628 ₽,Нет скидки
Программирование на PHP в примерах и задачах,Васильев Алексей,Эксмо-Пресс,965 ₽,Нет скидки
Статистический анализ экспериментальных данных в пакетах MathCAD и Excel. Учебное пособие для вузов,Воскобойников Юрий Евгеньевич,Лань,1 674 ₽,Нет скидки
Инженерные расчеты. Книга-билингва. Учебное пособие,"Очков, Орлов, Тихонов",Лань,2 085 ₽,Нет скидки
Системы искусственного интеллекта. Моделирование нейронных сетей в системе MATLAB. Лабораторный пр.,"Романов, Романова",Лань,811 ₽,Нет скидки
JavaScript. Обработка событий на примерах. Учебное пособие для СПО,Янцев Валерий Викторович,Лань,1 390 ₽,Нет скидки
Компьютерное моделирование автоматизации технологических процессов и производств. Практикум. СПО,Алексеев Владимир Анатольевич,Лань,1 275 ₽,Нет скидки
Ghidra. Полное руководство,"Игл, Нэнс",ДМК-Пресс,2 814 ₽,Нет скидки
Изучаем WinUI 3.0,Эшкрафт Элвин,ДМК-Пресс,1 481 ₽,Нет скидки
JavaScript для профессиональных веб-разработчиков,Фрисби Мэтт,Питер,3 472 ₽,Нет скидки
Осваиваем Ethereum. Создание смарт-контрактов и децентрализованных приложений,"Антонопулос, Вуд",Бомбора,2 078 ₽,Нет скидки
SQL за 10 минут,Форта Бен,Вильямс,1 426 ₽,Нет скидки
Облачные архитектуры. Разработка устойчивых и экономичных облачных приложений,"Лащевски, Арора, Фарр",Питер,1 560 ₽,Нет скидки
Делай как в Google. Разработка программного обеспечения,"Винтерс, Маншрек, Райт",Питер,2 836 ₽,Нет скидки
Программируем на C# 8.0. Разработка приложений,Гриффитс Иэн,Питер,4 099 ₽,Нет скидки
C# 9.0. Справочник. Полное описание языка,Албахари Джозеф,Диалектика,5 037 ₽,Нет скидки
Изучаем квантовые вычисления на Python и Q#,"Кайзер, Гранад",ДМК-Пресс,2 073 ₽,Нет скидки
"Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие",Ощепков Александр Юрьевич,Лань,1 475 ₽,Нет скидки
Коды с суммированием для систем технического диагностирования. В 2-х томах,"Сапожников, Ефанов, Сапожников",Наука,965 ₽,Нет скидки
Основы тестирования программного обеспечения. Учебное пособие для СПО,Старолетов Сергей Михайлович,Лань,1 342 ₽,Нет скидки
"Гид по Computer Science, расширенное издание",Спрингер Вильям,Питер,1 185 ₽,Нет скидки
"Computer Science. Основы программирования на Java, ООП, алгоритмы и структуры данных","Седжвик, Уэйн",Питер,2 681 ₽,Нет скидки
Как работают компьютерные сети и интернет,Северанс Чарльз Р.,ДМК-Пресс,961 ₽,Нет скидки
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow,"Ханнес, Нельсон",ДМК-Пресс,1 554 ₽,Нет скидки
"SQL для хранения, обработки и анализа данных","Туманов, Гайфуллин",Солон-пресс,578 ₽,Нет скидки
Технология программирования. Проектирование. Комплексное тестирование. Программная документация,Иванова Галина Сергеевна,Кнорус,1 078 ₽,Нет скидки
"Безопасность веб-приложений. Разведка, защита, нападение",Хоффман Эндрю,Питер,2 521 ₽,Нет скидки
Распределенные данные. Алгоритмы работы современных систем хранения информации,Петров Алекс,Питер,2 731 ₽,Нет скидки
Безопасно by Design,"Берг, Деоган, Савано",Питер,2 213 ₽,Нет скидки
Пакет прикладных программ. Учебное пособие,Шитов Виктор Николаевич,ИНФРА-М,1 782 ₽,Нет скидки
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor,Лянг Виктор Федорович,ИНФРА-М,1 412 ₽,Нет скидки
Искусство тестирования на проникновение в сеть,Дэвис Ройс,ДМК-Пресс,1 628 ₽,Нет скидки
Построение пользовательских интерфейсов,Малышев Кирилл Викторович,ДМК-Пресс,1 333 ₽,Нет скидки
Data Science для карьериста,"Нолис, Робинсон",Питер,2 459 ₽,Нет скидки
"Экстремальный Cи. Параллелизм, ООП и продвинутые возможности",Амини Камран,Питер,3 105 ₽,Нет скидки
Программирование на C# для начинающих. Основные сведения,Васильев Алексей Николаевич,Бомбора,1 124 ₽,Нет скидки
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику,Феррейра Фило Владстон,Питер,921 ₽,Нет скидки
Паттерны объектно-ориентированного проектирования,"Гамма, Хелм, Джонсон",Питер,1 029 ₽,Нет скидки
Высокопроизводительные Python-приложения. Практическое руководство по эффективному программированию,"Горелик, Йен",Бомбора,1 499 ₽,Нет скидки
Алгоритмы неформально. Инструкция для начинающих питонистов,Брэдфорд Такфилд,Питер,1 417 ₽,Нет скидки
Этичный хакинг. Практическое руководство по взлому,Грэм Дэниел Г.,Питер,2 255 ₽,Нет скидки
"Экстремальный Cи. Параллелизм, ООП и продвинутые возможности",Амини Камран,Питер,3 105 ₽,Нет скидки
Программная инженерия. Учебное пособие,Маран Михкель Михкелевич,Лань,1 573 ₽,Нет скидки
Системы искусственного интеллекта. Учебное пособие,Бураков Михаил Владимирович,Проспект,633 ₽,Нет скидки
Алгоритмы обработки текста. 125 задач с решениями,"Крошемор, Лекрок, Риттер",ДМК-Пресс,1 481 ₽,Нет скидки
Аналитика в Power BI с помощью R и Python,Уэйд Райан,ДМК-Пресс,1 924 ₽,Нет скидки
Программирование. Введение в профессию. Том 2. Системы и сети,Столяров Андрей Викторович,ДМК-Пресс,2 517 ₽,Нет скидки
Программирование. Введение в профессию. Том 3. Парадигмы,Столяров Андрей Викторович,ДМК-Пресс,2 517 ₽,Нет скидки
C#. Алгоритмы и структуры данных. Учебное пособие для вузов,"Тюкачев, Хлебостроев",Лань,2 749 ₽,Нет скидки
"Python, например",Лейси Никола,Питер,1 589 ₽,Нет скидки
"Изучаем SQL. Генерация, выборка и обработка данных",Болье Алан,Диалектика,2 852 ₽,Нет скидки
Знакомство с программированием на языке Processing,"Риас, Фрай",ДМК-Пресс,1 110 ₽,Нет скидки
Принятие решений и феномен неопределенности. Учебное пособие,Клименко Игорь Семенович,Лань,1 208 ₽,Нет скидки
C#. Основы программирования (+CD). Учебное пособие для СПО,"Тюкачев, Хлебостроев",Лань,1 569 ₽,Нет скидки
JavaScript для глубокого обучения. TensorFlow.js,"Шолле, Нильсон, Байлесчи",Питер,3 545 ₽,Нет скидки
Введение в язык Си++,Столяров Андрей Викторович,ДМК-Пресс,888 ₽,Нет скидки
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,740 ₽,Нет скидки
"Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512",Куссвюрм Даниэль,ДМК-Пресс,2 443 ₽,Нет скидки
Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений,Райс Лиз,Питер,2 263 ₽,Нет скидки
Те же 10 вопросов через 20 лет. Офис и компьютер,Проскурин Сергей Павлович,Деловой двор,258 ₽,Нет скидки
Программирование. Введение в профессию. Том 1. Азы программирования,Столяров Андрей Викторович,ДМК-Пресс,2 517 ₽,Нет скидки
Имитационное моделирование процессов и систем в АПК. Учебное пособие,"Худякова, Липатов",Колос,1 862 ₽,Нет скидки
ВОСХОД программиста,Земцов А. Н.,Деловой двор,920 ₽,Нет скидки
JavaScript с нуля,Чиннатамби Кирупа,Питер,1 545 ₽,Нет скидки
Наглядный CSS,Сидельников Грег,Питер,1 404 ₽,Нет скидки
Scala. Профессиональное программирование,"Одерски, Спун, Веннерс",Питер,5 332 ₽,Нет скидки
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов,Умрихин Евгений Дмитриевич,Лань,1 824 ₽,Нет скидки
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО,Умрихин Евгений Дмитриевич,Лань,1 739 ₽,Нет скидки
Программирование. Сборник задач. Учебное пособие для СПО,"Маран, Батасова, Гречкина",Лань,1 074 ₽,Нет скидки
Математическое программирование.СПО,Ганичева Антонина Валериановна,Лань,989 ₽,Нет скидки
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64,Йо Ван Гуй,ДМК-Пресс,1 777 ₽,Нет скидки
Обработка и представление данных в MS Excel. Учебное пособие,"Бурнаева, Леора",Лань,717 ₽,Нет скидки
Парадигма программирования. Учебное пособие,Городняя Лидия Васильевна,Лань,1 394 ₽,Нет скидки
ASP.NET Core 3 с примерами на C# для профессионалов,Фримен Адам,Вильямс,5 702 ₽,Нет скидки
Создаем динамические веб-сайты на PHP,"Татро, Макинтайр",Питер,2 325 ₽,Нет скидки
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань,1 128 ₽,Нет скидки
HTTP/2 в действии,Поллард Барри,ДМК-Пресс,2 368 ₽,Нет скидки
Методика моделирования динамики октокоптера,Щекатуров Александр Михайлович,ДМК-Пресс,1 481 ₽,Нет скидки
"Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое",Курт Уилл,Питер,2 793 ₽,Нет скидки
Python. Лучшие практики и инструменты,"Яворски, Зиаде",Питер,2 793 ₽,Нет скидки
C# 9.0. Карманный справочник,"Албахари, Албахари",Диалектика,1 426 ₽,Нет скидки
Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие,"Пащенко, Кудинов",Лань,2 085 ₽,Нет скидки
Обработка естественного языка. Python и spaCy на практике,Васильев Юрий,Питер,1 554 ₽,Нет скидки
Python для финансовых расчетов,Хилпиш Ив,Диалектика,7 128 ₽,Нет скидки
Разработка и анализ компьютерных алгоритмов,"Ахо, Ульман, Хопкрофт",Вильямс,2 187 ₽,Нет скидки
